episode,maze_seed,total_reward,steps,success,death,correct_kills,wrong_weapon_count,hit_wall_count,epsilon
0,0,-372,166,False,True,1,0,25,0.995
1,1,-50,1,False,True,0,0,0,0.990025
2,2,-377,187,False,True,1,1,19,0.985074875
3,3,-392,284,True,False,1,2,28,0.9801495006250001
4,4,-125,50,False,True,1,0,4,0.9752487531218751
5,5,-880,500,False,False,1,0,48,0.9703725093562657
6,6,-133,46,False,True,1,0,8,0.9655206468094844
7,7,-78,117,True,False,1,0,6,0.960693043575437
8,8,-895,500,False,False,1,1,55,0.9558895783575597
9,9,-971,500,False,False,1,0,69,0.9511101304657719
10,10,-931,500,False,False,2,0,69,0.946354579813443
11,11,-545,277,False,True,2,1,29,0.9416228069143757
12,12,-71,22,False,True,1,0,1,0.9369146928798039
13,13,-942,500,False,False,0,0,62,0.9322301194154049
14,14,-568,308,False,True,1,0,31,0.9275689688183278
15,15,-591,315,False,True,1,0,29,0.9229311239742362
16,16,-418,198,False,True,0,0,27,0.918316468354365
17,17,-332,161,False,True,0,0,17,0.9137248860125932
18,18,-902,500,False,False,2,0,55,0.9091562615825302
19,19,-707,363,False,True,2,2,43,0.9046104802746175
20,20,-88,27,False,True,0,0,1,0.9000874278732445
21,21,-671,353,False,True,0,0,34,0.8955869907338783
22,22,-862,500,False,False,0,0,42,0.8911090557802088
23,23,-168,56,False,True,0,0,11,0.8866535105013078
24,24,-61,8,False,True,0,0,0,0.8822202429488013
25,25,-557,305,False,True,2,0,27,0.8778091417340573
26,26,-260,134,False,True,0,0,5,0.8734200960253871
27,27,-293,224,True,False,0,0,25,0.8690529955452602
28,28,-911,500,False,False,1,0,60,0.8647077305675338
29,29,-450,238,False,True,1,2,23,0.8603841919146962
30,30,-253,127,False,True,2,1,13,0.8560822709551227
31,31,-433,233,False,True,2,0,25,0.851801859600347
32,32,-138,58,False,True,1,0,7,0.8475428503023453
33,33,-510,299,False,True,2,0,20,0.8433051360508336
34,34,-124,52,False,True,0,0,0,0.8390886103705794
35,35,-809,500,False,False,1,0,41,0.8348931673187264
36,36,-327,183,False,True,1,0,9,0.8307187014821328
37,37,-617,441,True,False,1,0,33,0.8265651079747222
38,38,-878,500,False,False,1,0,55,0.8224322824348486
39,39,-235,203,True,False,2,2,19,0.8183201210226743
40,40,-188,72,False,True,0,0,11,0.8142285204175609
41,41,-122,46,False,True,0,0,3,0.810157377815473
42,42,-55,5,False,True,0,0,0,0.8061065909263957
43,43,-859,500,False,False,2,0,54,0.8020760579717637
44,44,-719,381,False,True,0,0,40,0.798065677681905
45,45,-250,201,True,False,1,0,22,0.7940753492934954
46,46,-64,8,False,True,0,0,1,0.7901049725470279
47,47,-235,105,False,True,0,0,13,0.7861544476842928
48,48,-215,98,False,True,0,0,9,0.7822236754458713
49,49,-97,25,False,True,0,2,3,0.778312557068642
50,50,-87,17,False,True,0,4,0,0.7744209942832988
51,51,-94,39,False,True,1,0,2,0.7705488893118823
52,52,-110,33,False,True,0,2,3,0.7666961448653229
53,53,-193,87,False,True,0,0,7,0.7628626641409962
54,54,-353,197,False,True,1,1,12,0.7590483508202912
55,55,-366,200,False,True,1,0,17,0.7552531090661897
56,56,-517,299,False,True,2,1,19,0.7514768435208588
57,57,-76,109,True,False,2,0,14,0.7477194593032545
58,58,-227,126,False,True,1,1,7,0.7439808620067382
59,59,-159,80,False,True,1,0,2,0.7402609576967045
60,60,-71,26,False,True,1,1,0,0.736559652908221
61,61,4,71,True,False,0,0,2,0.7328768546436799
62,62,-189,183,True,False,3,3,18,0.7292124703704616
63,63,-222,111,False,True,1,0,10,0.7255664080186093
64,64,-50,1,False,True,0,0,0,0.7219385759785162
65,65,-452,266,False,True,1,3,15,0.7183288830986236
66,66,-138,56,False,True,1,0,7,0.7147372386831305
67,67,-97,43,False,True,1,0,2,0.7111635524897149
68,68,-170,179,True,False,1,0,12,0.7076077347272662
69,69,-798,500,False,False,1,0,44,0.7040696960536299
70,70,-736,500,False,False,2,1,24,0.7005493475733617
71,71,-103,29,False,True,0,0,3,0.697046600835495
72,72,-65,11,False,True,0,0,0,0.6935613678313175
73,73,-50,1,False,True,0,0,0,0.6900935609921609
74,74,-139,69,False,True,1,1,4,0.6866430931872001
75,75,-192,183,True,False,1,0,16,0.6832098777212641
76,76,-15,84,True,False,1,0,5,0.6797938283326578
77,77,-339,181,False,True,0,2,11,0.6763948591909945
78,78,-416,312,True,False,1,0,28,0.6730128848950395
79,79,-112,44,False,True,0,0,2,0.6696478204705644
80,80,-751,500,False,False,3,0,35,0.6662995813682115
81,81,-181,91,False,True,1,3,4,0.6629680834613705
82,82,-12,93,True,False,2,0,6,0.6596532430440636
83,83,-195,112,False,True,0,0,2,0.6563549768288433
84,84,-343,319,True,False,3,0,19,0.653073201944699
85,85,-768,500,False,False,3,1,37,0.6498078359349755
86,86,-301,282,True,False,3,0,19,0.6465587967553006
87,87,-103,34,False,True,0,0,2,0.6433260027715241
88,88,-145,68,False,True,0,0,4,0.6401093727576664
89,89,-95,32,False,True,0,0,1,0.6369088258938781
90,90,-85,30,False,True,0,0,0,0.6337242817644086
91,91,-206,217,True,False,3,0,16,0.6305556603555866
92,92,-141,183,True,False,2,0,7,0.6274028820538087
93,93,-751,500,False,False,1,0,32,0.6242658676435396
94,94,-12,82,True,False,1,1,3,0.6211445383053219
95,95,-54,4,False,True,0,0,0,0.6180388156137953
96,96,-120,57,False,True,0,0,1,0.6149486215357263
97,97,-222,99,False,True,0,0,11,0.6118738784280476
98,98,39,54,True,False,1,0,1,0.6088145090359074
99,99,-90,144,True,False,1,1,3,0.6057704364907278
100,0,-151,77,False,True,1,0,4,0.6027415843082742
101,1,-179,93,False,True,1,0,7,0.5997278763867329
102,2,-93,137,True,False,2,0,11,0.5967292370047992
103,3,-75,124,True,False,1,1,8,0.5937455908197752
104,4,60,45,True,False,2,0,2,0.5907768628656763
105,5,56,37,True,False,1,0,2,0.5878229785513479
106,6,-75,19,False,True,0,0,1,0.5848838636585911
107,7,-88,136,True,False,1,0,6,0.5819594443402982
108,8,30,57,True,False,2,1,5,0.5790496471185967
109,9,-51,119,True,False,2,0,7,0.5761543988830038
110,10,-272,171,False,True,2,0,9,0.5732736268885887
111,11,-187,117,False,True,2,0,4,0.5704072587541458
112,12,-57,6,False,True,0,0,0,0.567555222460375
113,13,-13,97,True,False,1,0,1,0.5647174463480732
114,14,37,61,True,False,2,0,1,0.5618938591163328
115,15,-93,45,False,True,2,0,3,0.5590843898207511
116,16,78,37,True,False,2,0,0,0.5562889678716474
117,17,-58,5,False,True,0,1,0,0.5535075230322891
118,18,-4,98,True,False,3,0,4,0.5507399854171277
119,19,-38,123,True,False,3,0,6,0.547986285490042
120,20,-82,144,True,False,3,3,7,0.5452463540625918
121,21,-121,56,False,True,1,1,2,0.5425201222922789
122,22,-735,500,False,False,0,0,26,0.5398075216808175
123,23,-369,326,True,False,3,0,25,0.5371084840724134
124,24,-77,24,False,True,1,1,1,0.5344229416520513
125,25,-117,54,False,True,2,0,7,0.531750826943791
126,26,-147,83,False,True,1,1,2,0.5290920728090721
127,27,37,47,True,False,0,0,1,0.5264466124450268
128,28,-147,70,False,True,1,0,5,0.5238143793828016
129,29,-221,134,False,True,2,0,7,0.5211953074858876
130,30,35,65,True,False,2,0,1,0.5185893309484582
131,31,-92,145,True,False,3,1,9,0.5159963842937159
132,32,-78,140,True,False,3,1,9,0.5134164023722473
133,33,-10,92,True,False,2,0,4,0.510849320360386
134,34,-197,230,True,False,2,0,9,0.5082950737585841
135,35,-75,31,False,True,1,0,0,0.5057535983897912
136,36,52,54,True,False,2,0,2,0.5032248303978422
137,37,-62,11,False,True,0,0,0,0.500708706245853
138,38,-175,98,False,True,1,0,3,0.4982051627146237
139,39,-147,90,False,True,2,0,2,0.49571413690105054
140,40,-88,136,True,False,1,0,8,0.4932355662165453
141,41,-144,72,False,True,1,0,5,0.4907693883854626
142,42,59,52,True,False,3,0,3,0.4883155414435353
143,43,-92,37,False,True,1,2,0,0.4858739637363176
144,44,86,24,True,False,1,0,0,0.483444593917636
145,45,79,25,True,False,1,0,1,0.4810273709480478
146,46,-51,2,False,True,0,0,0,0.47862223409330756
147,47,88,34,True,False,3,2,0,0.47622912292284103
148,48,96,16,True,False,1,0,0,0.4738479773082268
149,49,-462,308,False,True,2,0,14,0.47147873742168567
150,50,-336,325,True,False,3,1,17,0.46912134373457726
151,51,-11,108,True,False,3,0,3,0.46677573701590436
152,52,54,50,True,False,2,0,2,0.46444185833082485
153,53,-491,457,True,False,3,0,15,0.46211964903917074
154,54,-712,500,False,False,1,0,28,0.4598090507939749
155,55,-219,233,True,False,2,0,15,0.457510005540005
156,56,-202,224,True,False,3,1,13,0.45522245551230495
157,57,-50,1,False,True,0,0,0,0.4529463432347434
158,58,36,70,True,False,2,0,2,0.4506816115185697
159,59,-183,117,False,True,2,0,5,0.4484282034609769
160,60,-73,141,True,False,3,1,6,0.446186062443672
161,61,10,75,True,False,0,0,0,0.4439551321314536
162,62,-55,4,False,True,0,0,0,0.4417353564707963
163,63,-55,108,True,False,1,0,9,0.43952667968844233
164,64,-55,15,False,True,1,0,0,0.43732904629000013
165,65,-42,126,True,False,3,0,6,0.4351424010585501
166,66,-100,170,True,False,3,2,6,0.43296668905325736
167,67,-54,4,False,True,0,0,0,0.43080185560799106
168,68,-23,91,True,False,0,0,5,0.4286478463299511
169,69,15,76,True,False,2,0,3,0.42650460709830135
170,70,-58,142,True,False,2,0,4,0.42437208406280985
171,71,-52,3,False,True,0,0,0,0.4222502236424958
172,72,-204,121,False,True,1,0,3,0.42013897252428334
173,73,-108,181,True,False,3,0,6,0.4180382776616619
174,74,60,55,True,False,3,0,2,0.4159480862733536
175,75,47,52,True,False,1,0,1,0.41386834584198684
176,76,23,63,True,False,1,0,3,0.4117990041127769
177,77,-435,268,False,True,1,0,16,0.40974000909221303
178,78,-7,85,True,False,0,0,1,0.40769130904675194
179,79,24,68,True,False,2,0,4,0.40565285250151817
180,80,-687,500,False,False,2,0,25,0.4036245882390106
181,81,56,50,True,False,2,0,2,0.4016064652978155
182,82,18,68,True,False,2,0,4,0.3995984329713264
183,83,-29,110,True,False,3,3,4,0.3976004408064698
184,84,-669,500,False,False,2,0,16,0.39561243860243744
185,85,-658,500,False,False,3,0,16,0.3936343764094253
186,86,-77,29,False,True,1,1,0,0.39166620452737816
187,87,-661,500,False,False,3,0,21,0.3897078735047413
188,88,-72,29,False,True,1,0,0,0.3877593341372176
189,89,-21,92,True,False,1,0,3,0.3858205374665315
190,90,54,41,True,False,1,0,2,0.38389143477919885
191,91,-663,500,False,False,2,0,19,0.3819719776053028
192,92,90,28,True,False,2,0,0,0.3800621177172763
193,93,-681,500,False,False,1,0,14,0.37816180712868996
194,94,70,33,True,False,1,0,2,0.37627099809304654
195,95,-267,268,True,False,2,0,13,0.3743896431025813
196,96,-38,101,True,False,1,0,6,0.37251769488706843
197,97,37,52,True,False,1,0,3,0.3706551064126331
198,98,80,28,True,False,1,0,0,0.36880183088056995
199,99,-303,197,False,True,1,0,6,0.3669578217261671
200,0,50,45,True,False,3,2,6,0.36512303261753626
201,1,7,97,True,False,3,0,3,0.3632974174544486
202,2,81,33,True,False,2,0,1,0.3614809303671764
203,3,60,44,True,False,1,0,0,0.3596735257153405
204,4,-86,24,False,True,0,0,2,0.3578751580867638
205,5,38,50,True,False,1,0,4,0.35608578229633
206,6,58,61,True,False,3,0,2,0.3543053533848483
207,7,-205,219,True,False,1,1,10,0.35253382661792404
208,8,74,41,True,False,2,0,0,0.3507711574848344
209,9,0,85,True,False,2,0,6,0.34901730169741024
210,10,-378,393,True,False,3,1,7,0.3472722151889232
211,11,-30,127,True,False,3,0,4,0.3455358541129786
212,12,-642,500,False,False,2,0,13,0.3438081748424137
213,13,-124,55,False,True,0,0,2,0.3420891339682016
214,14,96,24,True,False,2,0,0,0.3403786882983606
215,15,44,68,True,False,3,0,2,0.3386767948568688
216,16,42,59,True,False,2,0,2,0.33698341088258443
217,17,78,23,True,False,1,0,2,0.3352984938281715
218,18,49,60,True,False,3,1,2,0.33362200135903064
219,19,41,71,True,False,3,0,1,0.33195389135223546
220,20,-74,161,True,False,3,0,4,0.3302941218954743
221,21,56,63,True,False,3,0,0,0.32864265128599696
222,22,-707,500,False,False,0,0,21,0.326999438029567
223,23,-225,283,True,False,3,1,8,0.3253644408394192
224,24,97,29,True,False,3,0,1,0.3237376186352221
225,25,-32,126,True,False,3,0,4,0.322118930542046
226,26,-72,139,True,False,2,0,6,0.32050833588933575
227,27,61,31,True,False,0,0,1,0.31890579420988907
228,28,-359,255,False,True,2,0,7,0.3173112652388396
229,29,-87,167,True,False,3,0,5,0.3157247089126454
230,30,49,58,True,False,2,0,1,0.3141460853680822
231,31,-77,31,False,True,1,0,1,0.3125753549412418
232,32,24,90,True,False,3,0,0,0.31101247816653554
233,33,18,91,True,False,2,0,0,0.30945741577570285
234,34,8,100,True,False,2,0,0,0.3079101286968243
235,35,61,47,True,False,2,0,1,0.3063705780533402
236,36,-66,109,True,False,2,0,14,0.30483872516307353
237,37,59,42,True,False,1,0,1,0.3033145315372582
238,38,-253,289,True,False,3,2,9,0.3017979588795719
239,39,99,19,True,False,2,0,1,0.30028896908517405
240,40,74,30,True,False,1,0,0,0.2987875242397482
241,41,-10,101,True,False,3,0,6,0.29729358661854943
242,42,65,52,True,False,3,0,1,0.29580711868545667
243,43,60,53,True,False,2,0,0,0.2943280830920294
244,44,92,17,True,False,1,0,0,0.29285644267656924
245,45,77,27,True,False,1,0,1,0.2913921604631864
246,46,-608,500,False,False,2,0,9,0.28993519966087045
247,47,77,47,True,False,3,1,0,0.2884855236625661
248,48,88,21,True,False,1,0,0,0.28704309604425327
249,49,11,106,True,False,3,0,1,0.285607880564032
250,50,-267,182,False,True,1,0,6,0.28417984116121187
251,51,81,37,True,False,3,0,3,0.2827589419554058
252,52,90,28,True,False,2,0,0,0.28134514724562876
253,53,-603,500,False,False,0,0,8,0.2799384215094006
254,54,-642,500,False,False,1,0,11,0.27853872940185365
255,55,-535,369,False,True,1,0,12,0.27714603575484437
256,56,-71,143,True,False,3,0,7,0.2757603055760701
257,57,28,76,True,False,2,0,0,0.2743815040481898
258,58,66,47,True,False,2,0,0,0.2730095965279488
259,59,2,95,True,False,2,0,2,0.27164454854530906
260,60,-42,138,True,False,3,0,4,0.2702863258025825
261,61,-67,130,True,False,0,0,1,0.2689348941735696
262,62,57,62,True,False,3,0,1,0.26759021970270175
263,63,87,19,True,False,1,1,0,0.2662522686041882
264,64,89,36,True,False,3,0,1,0.2649210072611673
265,65,55,66,True,False,3,0,1,0.26359640222486147
266,66,38,80,True,False,3,0,0,0.26227842021373715
267,67,104,17,True,False,2,0,0,0.2609670281126685
268,68,76,21,True,False,0,0,0,0.25966219297210513
269,69,69,42,True,False,2,0,1,0.2583638820072446
270,70,-83,170,True,False,2,0,5,0.2570720625972084
271,71,-67,25,False,True,2,0,3,0.25578670228422234
272,72,94,26,True,False,2,0,0,0.25450776877280124
273,73,49,75,True,False,3,0,1,0.2532352299289372
274,74,116,18,True,False,3,0,0,0.2519690537792925
275,75,45,49,True,False,1,0,1,0.2507092085103961
276,76,87,18,True,False,1,0,1,0.2494556624678441
277,77,32,75,True,False,2,0,0,0.24820838415550486
278,78,53,36,True,False,0,0,1,0.24696734223472733
279,79,-48,138,True,False,3,0,4,0.2457325055235537
280,80,20,91,True,False,3,0,2,0.24450384299593592
281,81,102,20,True,False,2,0,0,0.24328132378095624
282,82,106,17,True,False,2,0,0,0.24206491716205145
283,83,86,42,True,False,3,0,0,0.2408545925762412
284,84,-60,11,False,True,0,0,0,0.23965031961336
285,85,100,33,True,False,3,0,0,0.2384520680152932
286,86,91,36,True,False,3,0,1,0.23725980767521673
287,87,-567,500,False,False,3,0,11,0.23607350863684065
288,88,92,29,True,False,2,0,0,0.23489314109365644
289,89,94,16,True,False,1,0,0,0.23371867538818816
290,90,69,27,True,False,1,0,3,0.23255008201124722
291,91,-582,500,False,False,2,0,12,0.231387331601191
292,92,-50,1,False,True,0,0,0,0.23023039494318503
293,93,-638,500,False,False,1,0,15,0.2290792429684691
294,94,92,19,True,False,1,0,0,0.22793384675362674
295,95,40,62,True,False,2,0,2,0.22679417751985861
296,96,33,65,True,False,1,0,1,0.22566020663225933
297,97,90,21,True,False,1,0,0,0.22453190559909803
298,98,88,23,True,False,1,0,0,0.22340924607110255
299,99,75,28,True,False,1,0,1,0.22229219984074702
300,0,116,17,True,False,3,0,0,0.2211807388415433
301,1,75,47,True,False,3,0,1,0.22007483514733558
302,2,102,19,True,False,2,0,0,0.2189744609715989
303,3,70,35,True,False,1,0,0,0.2178795886667409
