episode,maze_seed,total_reward,steps,success,death,correct_kills,wrong_weapon_count,hit_wall_count,epsilon
0,0,-894,500,False,False,2,0,51,0.995
1,1,-50,1,False,True,0,0,0,0.990025
2,2,-50,1,False,True,0,0,0,0.985074875
3,3,-50,1,False,True,0,0,0,0.9801495006250001
4,4,-871,500,False,False,2,0,48,0.9752487531218751
5,5,-420,192,False,True,0,0,27,0.9703725093562657
6,6,-83,17,False,True,0,0,3,0.9655206468094844
7,7,-890,500,False,False,0,0,50,0.960693043575437
8,8,-927,479,False,True,2,1,61,0.9558895783575597
9,9,-883,500,False,False,2,0,54,0.9511101304657719
10,10,-574,277,False,True,1,1,37,0.946354579813443
11,11,-982,500,False,False,2,0,79,0.9416228069143757
12,12,-847,452,False,True,2,0,49,0.9369146928798039
13,13,-972,500,False,False,0,0,70,0.9322301194154049
14,14,-661,444,True,False,2,0,47,0.9275689688183278
15,15,-745,464,True,False,3,5,52,0.9229311239742362
16,16,-115,43,False,True,0,0,0,0.918316468354365
17,17,-427,190,False,True,0,0,32,0.9137248860125932
18,18,-848,456,False,True,0,1,42,0.9091562615825302
19,19,-470,259,False,True,2,0,24,0.9046104802746175
20,20,-57,5,False,True,0,0,0,0.9000874278732445
21,21,-858,500,False,False,1,0,47,0.8955869907338783
22,22,-880,500,False,False,0,0,53,0.8911090557802088
23,23,-424,232,False,True,2,0,20,0.8866535105013078
24,24,-591,314,False,True,1,0,28,0.8822202429488013
25,25,-126,43,False,True,0,2,3,0.8778091417340573
26,26,-884,470,False,True,0,0,53,0.8734200960253871
27,27,-350,259,True,False,0,0,26,0.8690529955452602
28,28,-729,404,False,True,2,2,39,0.8647077305675338
29,29,-85,24,False,True,0,0,1,0.8603841919146962
30,30,-51,2,False,True,0,0,0,0.8560822709551227
31,31,-115,38,False,True,1,1,6,0.851801859600347
32,32,-76,16,False,True,0,0,2,0.8475428503023453
33,33,-121,49,False,True,1,0,5,0.8433051360508336
34,34,-160,63,False,True,0,4,4,0.8390886103705794
35,35,-99,23,False,True,0,2,3,0.8348931673187264
36,36,-399,308,True,False,3,1,28,0.8307187014821328
37,37,-218,206,True,False,1,0,14,0.8265651079747222
38,38,-293,132,False,True,1,0,19,0.8224322824348486
39,39,-117,36,False,True,0,0,5,0.8183201210226743
40,40,-361,158,False,True,0,0,24,0.8142285204175609
41,41,-502,287,False,True,2,2,19,0.810157377815473
42,42,-118,46,False,True,1,1,4,0.8061065909263957
43,43,-816,500,False,False,1,0,40,0.8020760579717637
44,44,-277,149,False,True,0,0,6,0.798065677681905
45,45,-240,209,True,False,2,0,22,0.7940753492934954
46,46,-85,26,False,True,0,0,0,0.7901049725470279
47,47,-134,184,True,False,3,0,8,0.7861544476842928
48,48,-440,357,True,False,1,0,20,0.7822236754458713
49,49,-812,500,False,False,3,2,46,0.778312557068642
50,50,-818,500,False,False,2,0,44,0.7744209942832988
51,51,-504,401,True,False,3,1,21,0.7705488893118823
52,52,-107,33,False,True,0,1,1,0.7666961448653229
53,53,-306,177,False,True,2,0,11,0.7628626641409962
54,54,-725,432,False,True,1,1,26,0.7590483508202912
55,55,-78,19,False,True,0,0,1,0.7552531090661897
56,56,-771,500,False,False,3,0,35,0.7514768435208588
57,57,-79,30,False,True,1,0,1,0.7477194593032545
58,58,-169,68,False,True,1,0,10,0.7439808620067382
59,59,-54,5,False,True,0,0,0,0.7402609576967045
60,60,-60,12,False,True,1,1,1,0.736559652908221
61,61,3,61,True,False,0,0,5,0.7328768546436799
62,62,-347,192,False,True,2,0,18,0.7292124703704616
63,63,-162,66,False,True,0,1,6,0.7255664080186093
64,64,-291,164,False,True,2,1,10,0.7219385759785162
65,65,-331,296,True,False,3,0,21,0.7183288830986236
66,66,-68,14,False,True,0,0,0,0.7147372386831305
67,67,-146,63,False,True,1,0,5,0.7111635524897149
68,68,31,54,True,False,0,0,1,0.7076077347272662
69,69,-502,294,False,True,1,0,22,0.7040696960536299
70,70,-248,133,False,True,1,0,8,0.7005493475733617
71,71,-136,81,False,True,2,1,1,0.697046600835495
72,72,-62,8,False,True,0,0,1,0.6935613678313175
73,73,-50,1,False,True,0,0,0,0.6900935609921609
74,74,-93,27,False,True,0,0,1,0.6866430931872001
75,75,-35,100,True,False,1,0,7,0.6832098777212641
76,76,-7,79,True,False,1,0,5,0.6797938283326578
77,77,-99,34,False,True,0,0,1,0.6763948591909945
78,78,-371,281,True,False,0,0,25,0.6730128848950395
79,79,-171,98,False,True,2,2,3,0.6696478204705644
80,80,-475,289,False,True,2,0,23,0.6662995813682115
81,81,13,71,True,False,2,0,3,0.6629680834613705
82,82,-87,28,False,True,1,1,3,0.6596532430440636
83,83,-123,55,False,True,1,0,5,0.6563549768288433
84,84,-73,17,False,True,0,0,1,0.653073201944699
85,85,-466,387,True,False,3,0,26,0.6498078359349755
86,86,-546,432,True,False,3,0,30,0.6465587967553006
87,87,-90,34,False,True,1,0,3,0.6433260027715241
88,88,-143,57,False,True,0,0,6,0.6401093727576664
89,89,-149,171,True,False,1,0,11,0.6369088258938781
90,90,-151,68,False,True,0,0,4,0.6337242817644086
91,91,-758,500,False,False,2,2,30,0.6305556603555866
